id,sex,age,topic,sign,filename
1060727,female,23,indUnk,Aries,..\Data\1060727.female.23.indUnk.Aries.xml
106160,female,27,Student,Sagittarius,..\Data\106160.female.27.Student.Sagittarius.xml
1062652,female,25,indUnk,Aries,..\Data\1062652.female.25.indUnk.Aries.xml
1063313,female,16,Student,Libra,..\Data\1063313.female.16.Student.Libra.xml
1065973,female,23,indUnk,Virgo,..\Data\1065973.female.23.indUnk.Virgo.xml
1066127,male,23,Technology,Taurus,..\Data\1066127.male.23.Technology.Taurus.xml
106651,male,25,indUnk,Leo,..\Data\106651.male.25.indUnk.Leo.xml
1067319,male,26,Non-Profit,Aries,..\Data\1067319.male.26.Non-Profit.Aries.xml
106738,male,25,Internet,Leo,..\Data\106738.male.25.Internet.Leo.xml
1068622,male,24,Government,Aquarius,..\Data\1068622.male.24.Government.Aquarius.xml
1068893,male,25,indUnk,Leo,..\Data\1068893.male.25.indUnk.Leo.xml
1070326,male,24,Government,Aquarius,..\Data\1070326.male.24.Government.Aquarius.xml
1070540,female,36,Technology,Scorpio,..\Data\1070540.female.36.Technology.Scorpio.xml
1073035,female,45,Education,Cancer,..\Data\1073035.female.45.Education.Cancer.xml
1074721,male,23,Student,Aquarius,..\Data\1074721.male.23.Student.Aquarius.xml
1075230,male,17,Student,Cancer,..\Data\1075230.male.17.Student.Cancer.xml
1076134,female,25,Arts,Gemini,..\Data\1076134.female.25.Arts.Gemini.xml
1076363,male,40,Communications-Media,Pisces,..\Data\1076363.male.40.Communications-Media.Pisces.xml
1077758,male,24,Student,Scorpio,..\Data\1077758.male.24.Student.Scorpio.xml
1077954,male,26,indUnk,Gemini,..\Data\1077954.male.26.indUnk.Gemini.xml
1078077,female,38,Arts,Aries,..\Data\1078077.female.38.Arts.Aries.xml
1078410,male,16,indUnk,Cancer,..\Data\1078410.male.16.indUnk.Cancer.xml
1079521,female,24,indUnk,Capricorn,..\Data\1079521.female.24.indUnk.Capricorn.xml
108212,female,27,Student,Taurus,..\Data\108212.female.27.Student.Taurus.xml
1083777,male,27,Technology,Libra,..\Data\1083777.male.27.Technology.Libra.xml
1084212,female,35,indUnk,Capricorn,..\Data\1084212.female.35.indUnk.Capricorn.xml
1084668,female,15,Student,Capricorn,..\Data\1084668.female.15.Student.Capricorn.xml
1084944,female,26,Arts,Leo,..\Data\1084944.female.26.Arts.Leo.xml
1086142,female,24,Arts,Leo,..\Data\1086142.female.24.Arts.Leo.xml
1086405,male,25,Manufacturing,Taurus,..\Data\1086405.male.25.Manufacturing.Taurus.xml
1087356,female,23,indUnk,Virgo,..\Data\1087356.female.23.indUnk.Virgo.xml
108780,female,25,indUnk,Leo,..\Data\108780.female.25.indUnk.Leo.xml
1088145,male,26,indUnk,Capricorn,..\Data\1088145.male.26.indUnk.Capricorn.xml
1088782,male,27,Engineering,Aquarius,..\Data\1088782.male.27.Engineering.Aquarius.xml
1089137,female,17,indUnk,Taurus,..\Data\1089137.female.17.indUnk.Taurus.xml
1089661,female,26,indUnk,Libra,..\Data\1089661.female.26.indUnk.Libra.xml
1089670,female,17,Student,Sagittarius,..\Data\1089670.female.17.Student.Sagittarius.xml
1090235,female,17,indUnk,Aquarius,..\Data\1090235.female.17.indUnk.Aquarius.xml
1090547,male,14,Religion,Capricorn,..\Data\1090547.male.14.Religion.Capricorn.xml
1091067,male,24,Technology,Cancer,..\Data\1091067.male.24.Technology.Cancer.xml
1091544,male,36,indUnk,Pisces,..\Data\1091544.male.36.indUnk.Pisces.xml
1091574,female,15,Student,Taurus,..\Data\1091574.female.15.Student.Taurus.xml
1091912,female,14,Student,Leo,..\Data\1091912.female.14.Student.Leo.xml
1092135,female,17,indUnk,Leo,..\Data\1092135.female.17.indUnk.Leo.xml
1092346,female,16,indUnk,Gemini,..\Data\1092346.female.16.indUnk.Gemini.xml
1093457,male,16,Technology,Virgo,..\Data\1093457.male.16.Technology.Virgo.xml
1093691,male,17,Technology,Taurus,..\Data\1093691.male.17.Technology.Taurus.xml
1094221,female,23,Education,Leo,..\Data\1094221.female.23.Education.Leo.xml
109656,male,36,LawEnforcement-Security,Pisces,..\Data\109656.male.36.LawEnforcement-Security.Pisces.xml
1097617,female,25,Communications-Media,Sagittarius,..\Data\1097617.female.25.Communications-Media.Sagittarius.xml
1097941,female,25,Marketing,Pisces,..\Data\1097941.female.25.Marketing.Pisces.xml
1098293,male,25,Engineering,Leo,..\Data\1098293.male.25.Engineering.Leo.xml
1098541,male,15,indUnk,Capricorn,..\Data\1098541.male.15.indUnk.Capricorn.xml
1100515,female,17,Student,Aries,..\Data\1100515.female.17.Student.Aries.xml
1101683,female,16,Arts,Libra,..\Data\1101683.female.16.Arts.Libra.xml
1102011,male,15,Student,Sagittarius,..\Data\1102011.male.15.Student.Sagittarius.xml
1103016,male,16,Student,Gemini,..\Data\1103016.male.16.Student.Gemini.xml
1103084,male,34,Education,Pisces,..\Data\1103084.male.34.Education.Pisces.xml
1103171,female,25,indUnk,Aries,..\Data\1103171.female.25.indUnk.Aries.xml
1103575,female,17,indUnk,Scorpio,..\Data\1103575.female.17.indUnk.Scorpio.xml
1104980,male,23,Sports-Recreation,Sagittarius,..\Data\1104980.male.23.Sports-Recreation.Sagittarius.xml
1105342,female,33,Internet,Gemini,..\Data\1105342.female.33.Internet.Gemini.xml
1107146,female,16,Student,Libra,..\Data\1107146.female.16.Student.Libra.xml
1107975,male,17,Student,Pisces,..\Data\1107975.male.17.Student.Pisces.xml
1108003,male,36,Internet,Pisces,..\Data\1108003.male.36.Internet.Pisces.xml
110854,male,25,indUnk,Virgo,..\Data\110854.male.25.indUnk.Virgo.xml
1110091,male,36,Technology,Virgo,..\Data\1110091.male.36.Technology.Virgo.xml
1110189,male,23,indUnk,Aries,..\Data\1110189.male.23.indUnk.Aries.xml
1110391,male,27,Law,Cancer,..\Data\1110391.male.27.Law.Cancer.xml
1110574,female,23,Arts,Aquarius,..\Data\1110574.female.23.Arts.Aquarius.xml
1111991,female,33,indUnk,Taurus,..\Data\1111991.female.33.indUnk.Taurus.xml
1112526,female,24,indUnk,Sagittarius,..\Data\1112526.female.24.indUnk.Sagittarius.xml
1112708,female,17,indUnk,Cancer,..\Data\1112708.female.17.indUnk.Cancer.xml
1112886,female,15,Student,Capricorn,..\Data\1112886.female.15.Student.Capricorn.xml
1113052,female,25,indUnk,Cancer,..\Data\1113052.female.25.indUnk.Cancer.xml
1113541,male,26,indUnk,Aries,..\Data\1113541.male.26.indUnk.Aries.xml
1113692,female,25,Non-Profit,Gemini,..\Data\1113692.female.25.Non-Profit.Gemini.xml
1114816,male,47,Technology,Pisces,..\Data\1114816.male.47.Technology.Pisces.xml
1115374,male,17,indUnk,Scorpio,..\Data\1115374.male.17.indUnk.Scorpio.xml
1117055,female,17,Student,Aquarius,..\Data\1117055.female.17.Student.Aquarius.xml
1117656,male,17,indUnk,Pisces,..\Data\1117656.male.17.indUnk.Pisces.xml
1119280,female,27,indUnk,Gemini,..\Data\1119280.female.27.indUnk.Gemini.xml
1119650,female,23,Student,Cancer,..\Data\1119650.female.23.Student.Cancer.xml
1119851,male,17,indUnk,Virgo,..\Data\1119851.male.17.indUnk.Virgo.xml
112265,female,23,indUnk,Taurus,..\Data\112265.female.23.indUnk.Taurus.xml
11253,male,26,Technology,Aquarius,..\Data\11253.male.26.Technology.Aquarius.xml
1125373,male,17,Student,Taurus,..\Data\1125373.male.17.Student.Taurus.xml
1125433,male,48,Military,Aquarius,..\Data\1125433.male.48.Military.Aquarius.xml
1125459,female,16,indUnk,Libra,..\Data\1125459.female.16.indUnk.Libra.xml
1125546,male,27,Law,Aries,..\Data\1125546.male.27.Law.Aries.xml
1127124,male,25,indUnk,Gemini,..\Data\1127124.male.25.indUnk.Gemini.xml
1130595,male,16,indUnk,Sagittarius,..\Data\1130595.male.16.indUnk.Sagittarius.xml
1131329,male,13,indUnk,Leo,..\Data\1131329.male.13.indUnk.Leo.xml
1131517,female,17,indUnk,Gemini,..\Data\1131517.female.17.indUnk.Gemini.xml
1131982,male,24,Government,Libra,..\Data\1131982.male.24.Government.Libra.xml
1132409,female,41,indUnk,Taurus,..\Data\1132409.female.41.indUnk.Taurus.xml
113390,male,24,Museums-Libraries,Gemini,..\Data\113390.male.24.Museums-Libraries.Gemini.xml
1134486,male,45,indUnk,Aquarius,..\Data\1134486.male.45.indUnk.Aquarius.xml
1135325,male,27,Science,Libra,..\Data\1135325.male.27.Science.Libra.xml
1135724,male,34,Internet,Cancer,..\Data\1135724.male.34.Internet.Cancer.xml
1135804,male,33,indUnk,Libra,..\Data\1135804.male.33.indUnk.Libra.xml
1136785,male,17,Student,Pisces,..\Data\1136785.male.17.Student.Pisces.xml
1137273,male,16,Student,Aquarius,..\Data\1137273.male.16.Student.Aquarius.xml
1137547,female,15,Arts,Scorpio,..\Data\1137547.female.15.Arts.Scorpio.xml
1138306,female,17,indUnk,Gemini,..\Data\1138306.female.17.indUnk.Gemini.xml
1142598,male,24,indUnk,Aquarius,..\Data\1142598.male.24.indUnk.Aquarius.xml
1143104,male,23,Student,Gemini,..\Data\1143104.male.23.Student.Gemini.xml
1143324,male,26,Internet,Virgo,..\Data\1143324.male.26.Internet.Virgo.xml
1144172,male,17,indUnk,Libra,..\Data\1144172.male.17.indUnk.Libra.xml
1145753,male,25,indUnk,Virgo,..\Data\1145753.male.25.indUnk.Virgo.xml
114645,male,17,Student,Virgo,..\Data\114645.male.17.Student.Virgo.xml
1146482,female,33,indUnk,Virgo,..\Data\1146482.female.33.indUnk.Virgo.xml
1149009,male,25,Technology,Gemini,..\Data\1149009.male.25.Technology.Gemini.xml
1149422,female,34,Publishing,Scorpio,..\Data\1149422.female.34.Publishing.Scorpio.xml
1149997,female,27,indUnk,Leo,..\Data\1149997.female.27.indUnk.Leo.xml
1151815,male,25,Education,Leo,..\Data\1151815.male.25.Education.Leo.xml
1152012,female,16,indUnk,Leo,..\Data\1152012.female.16.indUnk.Leo.xml
1153868,male,14,indUnk,Gemini,..\Data\1153868.male.14.indUnk.Gemini.xml
1155029,female,17,Student,Leo,..\Data\1155029.female.17.Student.Leo.xml
1155573,male,23,indUnk,Leo,..\Data\1155573.male.23.indUnk.Leo.xml
1156278,male,37,Internet,Taurus,..\Data\1156278.male.37.Internet.Taurus.xml
1157144,female,17,Student,Libra,..\Data\1157144.female.17.Student.Libra.xml
1157178,female,26,indUnk,Gemini,..\Data\1157178.female.26.indUnk.Gemini.xml
1157338,male,25,Technology,Virgo,..\Data\1157338.male.25.Technology.Virgo.xml
1157658,male,25,indUnk,Leo,..\Data\1157658.male.25.indUnk.Leo.xml
1158355,male,15,Student,Leo,..\Data\1158355.male.15.Student.Leo.xml
1158868,female,24,Student,Leo,..\Data\1158868.female.24.Student.Leo.xml
1159057,male,25,Advertising,Scorpio,..\Data\1159057.male.25.Advertising.Scorpio.xml
1160168,male,25,Science,Aries,..\Data\1160168.male.25.Science.Aries.xml
1162051,female,23,LawEnforcement-Security,Scorpio,..\Data\1162051.female.23.LawEnforcement-Security.Scorpio.xml
1162265,male,17,Student,Aries,..\Data\1162265.male.17.Student.Aries.xml
1163257,female,24,indUnk,Gemini,..\Data\1163257.female.24.indUnk.Gemini.xml
1163948,female,24,indUnk,Capricorn,..\Data\1163948.female.24.indUnk.Capricorn.xml
1164965,male,16,Student,Virgo,..\Data\1164965.male.16.Student.Virgo.xml
1166708,female,26,Arts,Aquarius,..\Data\1166708.female.26.Arts.Aquarius.xml
1169141,male,33,Arts,Capricorn,..\Data\1169141.male.33.Arts.Capricorn.xml
1169202,male,26,Science,Libra,..\Data\1169202.male.26.Science.Libra.xml
1169580,female,44,Technology,Taurus,..\Data\1169580.female.44.Technology.Taurus.xml
1170834,female,27,Communications-Media,Sagittarius,..\Data\1170834.female.27.Communications-Media.Sagittarius.xml
1171545,female,17,Non-Profit,Cancer,..\Data\1171545.female.17.Non-Profit.Cancer.xml
1171643,male,16,indUnk,Scorpio,..\Data\1171643.male.16.indUnk.Scorpio.xml
1173156,male,24,indUnk,Virgo,..\Data\1173156.male.24.indUnk.Virgo.xml
1174200,male,17,indUnk,Libra,..\Data\1174200.male.17.indUnk.Libra.xml
11762,female,25,Student,Aries,..\Data\11762.female.25.Student.Aries.xml
1178497,female,23,indUnk,Libra,..\Data\1178497.female.23.indUnk.Libra.xml
1178991,male,24,Technology,Virgo,..\Data\1178991.male.24.Technology.Virgo.xml
1180158,male,23,Consulting,Gemini,..\Data\1180158.male.23.Consulting.Gemini.xml
1180573,female,26,Education,Sagittarius,..\Data\1180573.female.26.Education.Sagittarius.xml
1183666,male,23,Internet,Aries,..\Data\1183666.male.23.Internet.Aries.xml
1184801,male,23,Internet,Aries,..\Data\1184801.male.23.Internet.Aries.xml
1185193,female,17,Student,Leo,..\Data\1185193.female.17.Student.Leo.xml
1187430,male,23,Internet,Capricorn,..\Data\1187430.male.23.Internet.Capricorn.xml
118791,male,33,Internet,Virgo,..\Data\118791.male.33.Internet.Virgo.xml
1188176,female,35,Education,Leo,..\Data\1188176.female.35.Education.Leo.xml
1190695,male,16,Student,Virgo,..\Data\1190695.male.16.Student.Virgo.xml
1192293,male,25,Student,Cancer,..\Data\1192293.male.25.Student.Cancer.xml
1193364,female,16,indUnk,Aries,..\Data\1193364.female.16.indUnk.Aries.xml
1194367,female,17,Law,Scorpio,..\Data\1194367.female.17.Law.Scorpio.xml
1195073,female,15,Student,Libra,..\Data\1195073.female.15.Student.Libra.xml
1196077,male,36,Communications-Media,Taurus,..\Data\1196077.male.36.Communications-Media.Taurus.xml
1196970,male,16,indUnk,Sagittarius,..\Data\1196970.male.16.indUnk.Sagittarius.xml
1197086,male,16,Student,Aries,..\Data\1197086.male.16.Student.Aries.xml
1197361,female,34,indUnk,Taurus,..\Data\1197361.female.34.indUnk.Taurus.xml
1197937,female,23,Student,Scorpio,..\Data\1197937.female.23.Student.Scorpio.xml
1198592,female,24,Accounting,Pisces,..\Data\1198592.female.24.Accounting.Pisces.xml
1199195,male,26,LawEnforcement-Security,Taurus,..\Data\1199195.male.26.LawEnforcement-Security.Taurus.xml
1199948,male,16,indUnk,Libra,..\Data\1199948.male.16.indUnk.Libra.xml
1202874,male,16,Student,Capricorn,..\Data\1202874.male.16.Student.Capricorn.xml
1203229,male,24,Internet,Scorpio,..\Data\1203229.male.24.Internet.Scorpio.xml
1204495,male,17,Student,Leo,..\Data\1204495.male.17.Student.Leo.xml
1205193,female,15,indUnk,Scorpio,..\Data\1205193.female.15.indUnk.Scorpio.xml
1207055,male,15,Arts,Aquarius,..\Data\1207055.male.15.Arts.Aquarius.xml
1207422,female,40,Law,Gemini,..\Data\1207422.female.40.Law.Gemini.xml
1208187,male,17,indUnk,Pisces,..\Data\1208187.male.17.indUnk.Pisces.xml
1208423,male,23,Engineering,Aries,..\Data\1208423.male.23.Engineering.Aries.xml
1209241,male,25,Government,Virgo,..\Data\1209241.male.25.Government.Virgo.xml
1209613,female,35,indUnk,Capricorn,..\Data\1209613.female.35.indUnk.Capricorn.xml
1209865,female,33,Architecture,Virgo,..\Data\1209865.female.33.Architecture.Virgo.xml
1211557,male,16,Student,Virgo,..\Data\1211557.male.16.Student.Virgo.xml
1211653,male,24,BusinessServices,Taurus,..\Data\1211653.male.24.BusinessServices.Taurus.xml
1214462,male,37,indUnk,Virgo,..\Data\1214462.male.37.indUnk.Virgo.xml
1216517,male,24,Education,Leo,..\Data\1216517.male.24.Education.Leo.xml
1217528,male,26,Advertising,Libra,..\Data\1217528.male.26.Advertising.Libra.xml
1217864,male,24,Non-Profit,Virgo,..\Data\1217864.male.24.Non-Profit.Virgo.xml
1220898,male,34,indUnk,Taurus,..\Data\1220898.male.34.indUnk.Taurus.xml
1221843,male,24,indUnk,Taurus,..\Data\1221843.male.24.indUnk.Taurus.xml
122217,male,37,indUnk,Leo,..\Data\122217.male.37.indUnk.Leo.xml
1222749,male,37,indUnk,Capricorn,..\Data\1222749.male.37.indUnk.Capricorn.xml
1223044,male,16,indUnk,Sagittarius,..\Data\1223044.male.16.indUnk.Sagittarius.xml
1223561,male,23,Engineering,Cancer,..\Data\1223561.male.23.Engineering.Cancer.xml
1224894,female,25,Student,Sagittarius,..\Data\1224894.female.25.Student.Sagittarius.xml
1225020,female,16,HumanResources,Scorpio,..\Data\1225020.female.16.HumanResources.Scorpio.xml
1225595,female,16,indUnk,Virgo,..\Data\1225595.female.16.indUnk.Virgo.xml
1225881,male,17,Internet,Scorpio,..\Data\1225881.male.17.Internet.Scorpio.xml
1226756,male,23,Technology,Leo,..\Data\1226756.male.23.Technology.Leo.xml
1229858,male,24,indUnk,Leo,..\Data\1229858.male.24.indUnk.Leo.xml
1230289,female,24,Internet,Aries,..\Data\1230289.female.24.Internet.Aries.xml
1231280,male,23,Student,Libra,..\Data\1231280.male.23.Student.Libra.xml
1231380,male,15,indUnk,Aquarius,..\Data\1231380.male.15.indUnk.Aquarius.xml
1231400,female,24,indUnk,Cancer,..\Data\1231400.female.24.indUnk.Cancer.xml
1231733,female,24,Communications-Media,Cancer,..\Data\1231733.female.24.Communications-Media.Cancer.xml
1232234,female,23,Communications-Media,Taurus,..\Data\1232234.female.23.Communications-Media.Taurus.xml
1232458,female,38,indUnk,Cancer,..\Data\1232458.female.38.indUnk.Cancer.xml
1233335,male,25,BusinessServices,Sagittarius,..\Data\1233335.male.25.BusinessServices.Sagittarius.xml
1233687,male,35,Consulting,Aquarius,..\Data\1233687.male.35.Consulting.Aquarius.xml
1233897,male,17,Technology,Virgo,..\Data\1233897.male.17.Technology.Virgo.xml
1233956,female,17,indUnk,Libra,..\Data\1233956.female.17.indUnk.Libra.xml
1234212,male,27,indUnk,Taurus,..\Data\1234212.male.27.indUnk.Taurus.xml
1234631,female,17,indUnk,Aquarius,..\Data\1234631.female.17.indUnk.Aquarius.xml
1234709,female,17,Student,Leo,..\Data\1234709.female.17.Student.Leo.xml
123532,male,39,Advertising,Aries,..\Data\123532.male.39.Advertising.Aries.xml
1236636,male,24,Arts,Cancer,..\Data\1236636.male.24.Arts.Cancer.xml
1237310,male,38,Arts,Taurus,..\Data\1237310.male.38.Arts.Taurus.xml
1238294,female,33,indUnk,Leo,..\Data\1238294.female.33.indUnk.Leo.xml
1238388,male,17,Student,Cancer,..\Data\1238388.male.17.Student.Cancer.xml
1239610,male,17,indUnk,Scorpio,..\Data\1239610.male.17.indUnk.Scorpio.xml
1240274,male,23,Communications-Media,Gemini,..\Data\1240274.male.23.Communications-Media.Gemini.xml
1240631,male,41,Communications-Media,Libra,..\Data\1240631.male.41.Communications-Media.Libra.xml
1241231,male,37,Technology,Aries,..\Data\1241231.male.37.Technology.Aries.xml
1241488,female,24,Publishing,Aries,..\Data\1241488.female.24.Publishing.Aries.xml
1241641,male,17,Student,Capricorn,..\Data\1241641.male.17.Student.Capricorn.xml
1242619,female,15,Arts,Capricorn,..\Data\1242619.female.15.Arts.Capricorn.xml
1242759,female,16,Arts,Aquarius,..\Data\1242759.female.16.Arts.Aquarius.xml
1244732,female,15,indUnk,Leo,..\Data\1244732.female.15.indUnk.Leo.xml
1245629,male,23,Technology,Gemini,..\Data\1245629.male.23.Technology.Gemini.xml
1245805,male,26,indUnk,Gemini,..\Data\1245805.male.26.indUnk.Gemini.xml
1246193,male,17,Student,Gemini,..\Data\1246193.male.17.Student.Gemini.xml
1246850,male,33,Internet,Capricorn,..\Data\1246850.male.33.Internet.Capricorn.xml
1247134,male,25,Transportation,Cancer,..\Data\1247134.male.25.Transportation.Cancer.xml
1248360,male,42,indUnk,Gemini,..\Data\1248360.male.42.indUnk.Gemini.xml
1250730,male,26,indUnk,Cancer,..\Data\1250730.male.26.indUnk.Cancer.xml
1251358,female,23,indUnk,Virgo,..\Data\1251358.female.23.indUnk.Virgo.xml
1252171,male,14,Student,Sagittarius,..\Data\1252171.male.14.Student.Sagittarius.xml
1252620,female,16,Fashion,Pisces,..\Data\1252620.female.16.Fashion.Pisces.xml
1253219,female,27,indUnk,Sagittarius,..\Data\1253219.female.27.indUnk.Sagittarius.xml
1254400,male,34,Religion,Leo,..\Data\1254400.male.34.Religion.Leo.xml
1255416,male,17,Student,Taurus,..\Data\1255416.male.17.Student.Taurus.xml
1255453,male,17,Consulting,Aquarius,..\Data\1255453.male.17.Consulting.Aquarius.xml
1255893,male,14,Student,Leo,..\Data\1255893.male.14.Student.Leo.xml
1256321,female,25,indUnk,Leo,..\Data\1256321.female.25.indUnk.Leo.xml
1258907,female,15,Student,Taurus,..\Data\1258907.female.15.Student.Taurus.xml
1259041,female,17,Non-Profit,Taurus,..\Data\1259041.female.17.Non-Profit.Taurus.xml
1259179,female,15,Student,Libra,..\Data\1259179.female.15.Student.Libra.xml
1261185,male,25,Technology,Sagittarius,..\Data\1261185.male.25.Technology.Sagittarius.xml
1261450,male,27,Internet,Aquarius,..\Data\1261450.male.27.Internet.Aquarius.xml
1261679,female,16,indUnk,Gemini,..\Data\1261679.female.16.indUnk.Gemini.xml
1262059,male,16,Student,Leo,..\Data\1262059.male.16.Student.Leo.xml
1263465,male,16,Technology,Scorpio,..\Data\1263465.male.16.Technology.Scorpio.xml
1263794,female,17,Student,Cancer,..\Data\1263794.female.17.Student.Cancer.xml
1264160,male,23,Arts,Pisces,..\Data\1264160.male.23.Arts.Pisces.xml
1266177,male,38,Internet,Taurus,..\Data\1266177.male.38.Internet.Taurus.xml
1266795,female,16,Student,Taurus,..\Data\1266795.female.16.Student.Taurus.xml
1266843,female,24,Communications-Media,Pisces,..\Data\1266843.female.24.Communications-Media.Pisces.xml
1266861,male,23,Non-Profit,Scorpio,..\Data\1266861.male.23.Non-Profit.Scorpio.xml
1267773,male,24,Student,Pisces,..\Data\1267773.male.24.Student.Pisces.xml
1268682,male,35,indUnk,Pisces,..\Data\1268682.male.35.indUnk.Pisces.xml
1269873,male,39,indUnk,Aquarius,..\Data\1269873.male.39.indUnk.Aquarius.xml
1270372,female,33,Manufacturing,Aries,..\Data\1270372.female.33.Manufacturing.Aries.xml
1270648,female,23,indUnk,Scorpio,..\Data\1270648.female.23.indUnk.Scorpio.xml
1273229,male,25,Internet,Cancer,..\Data\1273229.male.25.Internet.Cancer.xml
1273538,male,23,Advertising,Taurus,..\Data\1273538.male.23.Advertising.Taurus.xml
1274152,female,34,indUnk,Scorpio,..\Data\1274152.female.34.indUnk.Scorpio.xml
1274171,male,36,indUnk,Gemini,..\Data\1274171.male.36.indUnk.Gemini.xml
1274353,female,17,Student,Leo,..\Data\1274353.female.17.Student.Leo.xml
